Date,Open,High,Low,Close,WAP,No. of Shares,No. of Trades,Total Turnover,Deliverable Quantity,% Deli. Qty to Traded Qty,Spread H-L,Spread C-O
2023-02-21,40.55,41.75,39.5,41.5,40.78,32850.0,81.0,1339614.0,32850.0,100.0,2.25,0.95
2023-02-20,41.5,41.5,39.75,40.55,40.49,45187.0,101.0,1829672.0,45187.0,100.0,1.75,-0.95
2023-02-17,39.9,41.5,39.9,40.85,40.44,33235.0,81.0,1343895.0,33235.0,100.0,1.6,0.95
2023-02-16,41.75,42.5,40.1,40.5,41.05,21078.0,107.0,865356.0,21078.0,100.0,2.4,-1.25
2023-02-15,41.05,42.0,40.6,41.35,41.04,34776.0,102.0,1427333.0,34776.0,100.0,1.4,0.3
2023-02-14,42.35,42.9,41.0,42.3,41.64,42431.0,136.0,1767029.0,42431.0,100.0,1.9,-0.05
2023-02-13,40.95,42.95,40.15,42.35,42.24,125200.0,211.0,5288859.0,125200.0,100.0,2.8,1.4
2023-02-10,41.45,42.0,40.0,40.95,41.42,24478.0,121.0,1013951.0,24478.0,100.0,2.0,-0.5
2023-02-09,40.25,41.5,39.05,40.8,40.75,28122.0,124.0,1145945.0,28122.0,100.0,2.45,0.55
2023-02-08,41.2,41.2,39.15,39.7,40.08,30943.0,128.0,1240110.0,30943.0,100.0,2.05,-1.5
2023-02-07,39.7,40.75,39.3,40.25,40.02,27962.0,105.0,1119085.0,27962.0,100.0,1.45,0.55
2023-02-06,38.15,39.95,38.1,39.55,38.83,22463.0,118.0,872315.0,22463.0,100.0,1.85,1.4
2023-02-03,40.5,41.4,38.85,39.5,39.16,151948.0,253.0,5949598.0,151948.0,100.0,2.55,-1.0
2023-02-02,40.6,41.3,39.15,40.85,40.49,31548.0,137.0,1277510.0,31548.0,100.0,2.15,0.25
2023-02-01,42.15,42.15,40.0,40.5,40.68,53900.0,176.0,2192718.0,53900.0,100.0,2.15,-1.65
2023-01-31,40.1,42.1,40.1,41.65,41.98,76145.0,120.0,3196905.0,76145.0,100.0,2.0,1.55
